0.0001,-1.5
0.0005,-1.5
0.0013,-1.5
0.0026,-1.5
0.0043,-1.5
0.0066,-1.5
0.0094,-1.5
0.0126,-1.5
0.0163,-1.5
0.0206,-1.5
0.0253,-1.5
0.0306,-1.5
0.0363,-1.5
0.0426,-1.5
0.0493,-1.5
0.0565,-1.5
0.0644,-1.5
0.0726,-1.5
0.0814,-1.5
0.0906,-1.5
0.1004,-1.5
0.1105,-1.5
0.1214,-1.5
0.1327,-1.5
0.1443,-1.5
0.1566,-1.5
0.1694,-1.5
0.1825,-1.5
0.1964,-1.5
0.2107,-1.5
0.2253,-1.5
0.2406,-1.5
0.2564,-1.5
0.2725,-1.5
0.2894,-1.5
0.3066,-1.5
0.3244,-1.5
0.3426,-1.5
0.3614,-1.5
0.3805,-1.5
0.4003,-1.5
0.4207,-1.5
0.4413,-1.5
0.4626,-1.5
0.4844,-1.5
0.5066,-1.5
0.5294,-1.5
0.5527,-1.5
0.5764,-1.5
0.6007,-1.5
0.6254,-1.5
0.6506,-1.5
0.6764,-1.5
0.7026,-1.5
0.7294,-1.5
0.7566,-1.5
0.7844,-1.5
0.8125,-1.5
0.8414,-1.5
0.8706,-1.5
0.9004,-1.5
0.9307,-1.5
0.9613,-1.5
0.9927,-1.5
1.0245,-1.5
1.0566,-1.5
1.0893,-1.5
1.1225,-1.5
1.1564,-1.5
1.1906,-1.5
1.2254,-1.5
1.2605,-1.5
1.2963,-1.5
1.3327,-1.5
1.3694,-1.5
1.4067,-1.5
1.4444,-1.5
1.4828,-1.5
1.5215,-1.5
1.5605,-1.5
1.6005,-1.5
1.6406,-1.5
1.6813,-1.5
1.7226,-1.5
1.7644,-1.5
1.8068,-1.5
1.8495,-1.5
1.8926,-1.5
1.9365,-1.5
1.9806,-1.5
2.0255,-1.5
2.0707,-1.5
2.1163,-1.5
2.1626,-1.5
2.2093,-1.5
2.2566,-1.5
2.3044,-1.5
2.3528,-1.5
2.4013,-1.5
2.4508,-1.5
2.5004,-1.5
2.5507,-1.5
2.6014,-1.5
2.6528,-1.5
2.7045,-1.5
2.7567,-1.5
2.8096,-1.5
2.8628,-1.5
2.9165,-1.5
2.9709,-1.5
3.0253,-1.5
3.0808,-1.5
3.1363,-1.5
3.1926,-1.5
3.2496,-1.5
3.3066,-1.5
3.3644,-1.5
3.4226,-1.5
3.4815,-1.5
3.5408,-1.5
3.6005,-1.5
3.6606,-1.5
3.7214,-1.5
